MSOA,MedianHP,Borough,Area,Inner,Political,PopulationDensity,WorkingAge,ObesityRate,LifeExpectancy,BAME,Unemployed,MedianHHIncome,CarsPerHH,OwnershipRate,Sales
E02000090,192500,Bexley,East,Outer,Conservative,49.06609195,63.454045,21.8,79.1,9.443043777,4.631671813,37219.2156,1.038112065,70.9,142
E02000091,233750,Bexley,East,Outer,Conservative,36.04170477,61.712456,21.4,82.25,10.53501343,4.792800335,37550.14959,1.14793176,69.3,130
E02000092,190000,Bexley,East,Outer,Conservative,11.04843286,61.469032,26.5,80,12.58948024,7.436656795,27187.36067,1.078618663,55.1,57
E02006785,210000,Bexley,East,Outer,Conservative,47.3877581,62.68797,22.6,81.85,17.82581454,7.080745342,29624.79709,1.128554733,73.5,72
E02000093,320000,Brent,West,Outer,Labour,78.96609308,67.472204,21.2,82.65,72.05733713,6.284298106,33471.69082,1.207746479,63.8,66
E02000094,308500,Brent,West,Outer,Labour,75.6122712,67.196433,20.8,83.3,62.53144295,6.727965912,30684.86704,1.177867056,58.4,47
E02000095,311000,Brent,West,Outer,Labour,63.71149997,67.604072,20,83.8,72.17014414,7.731856832,33358.77219,1.097850497,59.9,51
E02000096,435000,Brent,West,Outer,Labour,45.0687863,66.043696,16.9,85.4,67.71518821,5.373428642,51120.24654,1.402700556,75.4,53
E02000097,299950,Brent,West,Outer,Labour,48.1162828,66.822952,22.8,83.8,63.87586515,7.247340426,30180.80245,1.168489405,63.1,47
E02000098,366500,Brent,West,Outer,Labour,43.34819972,67.04431,17.6,80.9,67.20795569,7.162329616,36992.32121,1.15158371,53.7,52
E02000099,308000,Brent,West,Outer,Labour,67.21044046,67.474446,18.2,84.65,70.0011485,7.043517272,34889.3482,0.991732566,51.8,49
E02000100,385000,Brent,West,Outer,Labour,40.28866971,71.053887,16,80.1,68.41917024,4.778529348,48533.45265,1.326780415,65.5,71
E02000101,246000,Brent,West,Outer,Labour,67.56660493,66.255894,21.3,79.1,69.66352336,9.557004722,27695.66215,0.86986715,37.5,72
E02000102,250000,Brent,West,Outer,Labour,57.308909,64.286632,22.6,84.4,68.33183511,10.8356546,23730.34794,0.871794872,45.8,41
E02000103,292500,Brent,West,Outer,Labour,49.48081264,64.691047,21,84.15,57.75535939,9.329089128,26806.07285,0.886773547,47.4,67
